ID,bedrooms,bathrooms,living_space,address,city,state,zipcode,latitude,longitude,property_url,price
23,3,2,1160.0,"1200 Wildwood Ave #41, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.944508,-119.949905,https://www.zillow.com/homedetails/1200-Wildwood-Ave-41-South-Lake-Tahoe-CA-96150/18578674_zpid/,425000.0
24,2,1,1161.0,"3343 Marlette Cir, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.939423,-119.970055,https://www.zillow.com/homedetails/3343-Marlette-Cir-South-Lake-Tahoe-CA-96150/18574630_zpid/,525000.0
25,3,2,1674.0,"1066 Johnson Blvd, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.943417,-119.966995,https://www.zillow.com/homedetails/1066-Johnson-Blvd-South-Lake-Tahoe-CA-96150/18577823_zpid/,745000.0
26,3,3,1644.0,"880 Los Angeles Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.93864,-119.981834,https://www.zillow.com/homedetails/880-Los-Angeles-Ave-South-Lake-Tahoe-CA-96150/18576621_zpid/,878000.0
27,2,2,1044.0,"1200 Wildwood Ave #18, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.944508,-119.949905,https://www.zillow.com/homedetails/1200-Wildwood-Ave-18-South-Lake-Tahoe-CA-96150/18578651_zpid/,375000.0
28,4,3,1722.0,"1617 Andy Jo Cir, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92873,-119.95624,https://www.zillow.com/homedetails/1617-Andy-Jo-Cir-South-Lake-Tahoe-CA-96150/18574988_zpid/,648000.0
29,4,3,2798.0,"1377 Tata Ln, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.899914,-120.0017,https://www.zillow.com/homedetails/1377-Tata-Ln-South-Lake-Tahoe-CA-96150/95036722_zpid/,1528000.0
30,4,3,2008.0,"2004 Venice Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92774,-120.01546,https://www.zillow.com/homedetails/2004-Venice-Dr-South-Lake-Tahoe-CA-96150/18571857_zpid/,1699000.0
31,3,3,1752.0,"1599 Glenwood Way, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.928413,-119.95865,https://www.zillow.com/homedetails/1599-Glenwood-Way-South-Lake-Tahoe-CA-96150/18574971_zpid/,650000.0
32,3,2,1343.0,"2081 Venice Dr APT 290, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.928596,-120.01209,https://www.zillow.com/homedetails/2081-Venice-Dr-APT-290-South-Lake-Tahoe-CA-96150/18571540_zpid/,825000.0
33,4,2,1850.0,"2312 Idaho Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.924263,-119.99873,https://www.zillow.com/homedetails/2312-Idaho-Ave-South-Lake-Tahoe-CA-96150/18573534_zpid/,798000.0
34,2,2,1372.0,"962 San Jose Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.942776,-119.9788,https://www.zillow.com/homedetails/962-San-Jose-Ave-South-Lake-Tahoe-CA-96150/2064292132_zpid/,455000.0
35,3,2,1501.0,"958 San Jose Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.94276,-119.97894,https://www.zillow.com/homedetails/958-San-Jose-Ave-South-Lake-Tahoe-CA-96150/2064292131_zpid/,510000.0
36,2,1,988.0,"2529 Kubel Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.920567,-119.98221,https://www.zillow.com/homedetails/2529-Kubel-Ave-South-Lake-Tahoe-CA-96150/18580186_zpid/,549000.0
37,4,3,2082.0,"910 Rubicon Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.929375,-119.985504,https://www.zillow.com/homedetails/910-Rubicon-Trl-South-Lake-Tahoe-CA-96150/18580811_zpid/,885000.0
38,3,3,2619.0,"870 Clement St, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.913643,-120.01273,https://www.zillow.com/homedetails/870-Clement-St-South-Lake-Tahoe-CA-96150/83901345_zpid/,1100000.0
